Object,View,Algo,Merge,Input_Views,IOU,MSE
feesh,bottom,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,99.8224
feesh,bottom,HYBRID,DEPTH,VOTE_from_top_left,1.0000,99.6900
feesh,bottom,HYBRID,DEPTH,PROJ_from_top_left,1.0000,96.7555
feesh,back,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,88.4531
feesh,bottom,HYBRID,DEPTH,VOTE_from_top_front_left,0.8411,99.7926
feesh,right,HYBRID,DEPTH,VOTE_from_top_front_left,0.8503,77.7840
feesh,bottom,DEPTH,MAPPING,from_top_front,0.9907,97.8302
feesh,right,HYBRID,DEPTH,PROJ_from_top_left,0.9618,98.1060
feesh,right,SPATIAL,CARVE,VOTE_from_top_front_left,0.9873,78.9946
feesh,right,HYBRID,DEPTH,PROJ_from_top_front_left,0.8503,84.5293
feesh,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,98.6417
feesh,right,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9873,78.9946
feesh,back,HYBRID,DEPTH,PROJ_from_top_front,0.9437,87.0423
feesh,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_left,1.0000,96.7555
feesh,right,SPATIAL,CARVE,PROJ_from_top_front_left,0.9873,87.7710
feesh,back,DEPTH,MAPPING,from_front_left,1.0000,91.1808
feesh,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,0.9873,100.9516
feesh,right,SILHOUETTE,INTERSECT,PROJ_from_top_left,0.9873,96.9785
feesh,back,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,0.9718,83.5338
feesh,right,SPATIAL,CARVE,PROJ_from_front_left,0.9873,100.9516
feesh,back,SPATIAL,CARVE,VOTE_from_top_front,1.0000,90.5047
feesh,right,SPATIAL,CARVE,PROJ_from_top_left,0.9873,96.9785
feesh,bottom,HYBRID,DEPTH,PROJ_from_top_front,1.0000,95.8318
feesh,back,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9718,89.0024
feesh,right,HYBRID,DEPTH,VOTE_from_front_left,0.9873,99.1742
feesh,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,0.9873,99.1742
feesh,right,HYBRID,DEPTH,PROJ_from_front_left,0.9873,100.9516
feesh,back,HYBRID,DEPTH,VOTE_from_top_front,0.9437,89.2164
feesh,back,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,90.5047
feesh,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,99.8224
feesh,back,SPATIAL,CARVE,VOTE_from_front_left,0.9718,84.8406
feesh,right,SPATIAL,CARVE,VOTE_from_top_left,0.9873,89.3817
feesh,bottom,SPATIAL,CARVE,VOTE_from_top_left,1.0000,99.6900
feesh,right,HYBRID,DEPTH,VOTE_from_top_left,0.9618,88.3377
feesh,back,HYBRID,DEPTH,PROJ_from_top_front_left,0.8169,80.0000
feesh,back,SPATIAL,CARVE,PROJ_from_top_front,1.0000,88.4531
feesh,right,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,0.9873,87.7710
feesh,right,SILHOUETTE,INTERSECT,VOTE_from_top_left,0.9873,89.3817
feesh,back,HYBRID,DEPTH,VOTE_from_front_left,0.9718,84.8406
feesh,right,SPATIAL,CARVE,VOTE_from_front_left,0.9873,99.1742
feesh,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_left,1.0000,99.6900
feesh,right,DEPTH,MAPPING,from_top_front_left,0.9810,77.2613
feesh,back,SPATIAL,CARVE,VOTE_from_top_front_left,0.9718,89.0024
feesh,bottom,SPATIAL,CARVE,PROJ_from_top_left,1.0000,96.7555
feesh,bottom,SPATIAL,CARVE,PROJ_from_top_front,1.0000,95.8318
feesh,bottom,DEPTH,MAPPING,from_top_left,0.9862,99.9299
feesh,bottom,SPATIAL,CARVE,VOTE_from_top_front,1.0000,109.3209
feesh,back,HYBRID,DEPTH,VOTE_from_top_front_left,0.8169,82.9454
feesh,bottom,HYBRID,DEPTH,VOTE_from_top_front,1.0000,109.3209
feesh,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,109.3209
feesh,bottom,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,98.6417
shark,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,99.2734
shark,right,DEPTH,MAPPING,from_front_left,1.0000,39.2301
shark,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,69.5968
shark,bottom,HYBRID,DEPTH,PROJ_from_top_front_left,0.9762,74.2374
shark,back,DEPTH,MAPPING,from_top_front_left,0.9922,57.8177
shark,right,DEPTH,MAPPING,from_top_left,0.9912,40.9720
shark,back,DEPTH,MAPPING,from_top_front,1.0000,58.4974
shark,bottom,DEPTH,MAPPING,from_top_front_left,0.9813,73.1571
shark,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,99.5417
shark,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,99.5417
shark,back,HYBRID,DEPTH,PROJ_from_front_left,1.0000,99.5417
shark,back,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,57.6380
